"pathway" "pval" "padj" "ES" "NES" "nMoreExtreme" "size" "leadingEdge"
"1" "GABRIELY_MIR21_TARGETS" 0.000114836931557189 0.00835005071565423 0.552373984283489 2.49491851448793 0 282 "DDR2, NFAT5, ATAD2B, ITSN2, PHIP, RECK, PELI1, VPS13A, MYEF2, MGA, RASGRP1, PTBP3, TAF1, APC, DLG1, NIPBL, RP2, SRSF11, FNBP1, SMC5, NBEA, PBRM1, RABGAP1, SESN1, MYO9A, CNTRL, REV3L, ZNF292, TTC33, ZNF667, USP34, MYCBP2, GAPVD1, TENT5A, IREB2, PAN3, THOC2, SASH1, ATRX, DOCK10, ACAP2, RFX7, ADNP, PIK3C2A, PHF20L1, SREK1, CLOCK, ARID4A, ARFGEF1, MINDY2, PTGFR, ZMYM2, ACTR2, WNK1, MEIS1, BMPR2, ZBTB20, APAF1, TRPM7, SNX30, TNPO1, MAP3K2, GNAQ, GTF2A1, OSR1, UTRN, PIK3R1, HECTD1, ZBTB44, CERS6, UGGT1, LIMCH1, PER3, RAB3GAP2, ARHGAP21, RNF38, CLCN5, KLHL15, TBL1XR1, RSF1, PKD2, MAP3K1, AHSA2P, OLR1, B3GALNT1, SPG11, TRIM2, RAPH1, ATP11B, VPS54, SYNE2, MPDZ, PHACTR2, USP7, MGAT4A, ATP2B4, CEMIP2, TGFBR2, LNPK, PBX1, TLCD4, PURA, DMD, BRMS1L, WNK3, RMND5A, YTHDC2, ANO3, LCORL, SMC1A, GOLGA4, FBXO11, LATS1, SNX13, WNT5A, ACBD5, DCAF10, SEC63, RAB11FIP2, FILIP1L, FOXN3, NFIB, OSBPL3, DDX46, PM20D2, FBXL17, ZRANB1, NEK1, KLHL24, TRAPPC2, RUFY3, UBXN4, RPS6KA3, POLR3B, ADGRG2, TLR4, AP3M1, SRPK2, RALGPS2, TNRC6B, ARHGEF12, SLC9A6, KLHL3, PLD1, PRICKLE2, ANKRD28, EPHA4, SUZ12, COBLL1, TET1, TSNAX, SLC17A5, PAG1, ATF2, ZBTB38, ENAH, ITGB8, UBR5, RSPRY1, RAI14, SLC26A2, DYNC1LI2"
"2" "IKEDA_MIR30_TARGETS_UP" 0.00012929919834497 0.00835005071565423 0.607462312299587 2.475748703307 0 116 "NFAT5, KDM3A, NRIP1, ARID4B, CPNE8, PELI1, PTBP3, ATP2B1, TAOK1, LRRC17, SSBP2, CHD9, TNRC6A, USP34, SCAF4, NOVA1, PPP1R12A, TBC1D15, SON, ITSN1, FNDC3A, ASAP1, FNDC3B, CNOT6, CLOCK, ARID4A, RASA1, SOCS6, ELL, EPC2, ELMO1, SEMA6D, CPEB2, GNA13, GFPT2, P4HA1, DPYSL2, BCL2, CELF2, SLC6A6, CSNK1G1, SEMA3A, XPO1, RAPH1, NCAM1, CPEB4, MAF, SLC4A7, DMD, HIC2, GOLGA4, XPR1, DTNA, UBE2V2, ADGRL3, BNC2, NFIB, DDX46"
"3" "DACOSTA_UV_RESPONSE_VIA_ERCC3_DN" 0.000102774922918808 0.00835005071565423 0.51432032125342 2.47478843079689 0 836 "DICER1, DOCK9, APBB2, DDR2, VPS13B, KDM3A, SRGAP2, HLTF, PLCE1, CDK17, ATAD2B, FAM193A, NRIP1, ZNF451, ADARB1, ITSN2, PHIP, CEP350, UST, PRRC2C, MACF1, E2F5, PTX3, OSBPL8, EPS15, TASOR, VPS13A, COG5, PNISR, STXBP3, LPAR1, BPTF, MITF, STK3, SWAP70, MEF2A, RBMS1, ATP2B1, TCF12, TGFBR3, NUP153, APC, KAT6A, SETD2, ZZEF1, RLF, DLG1, NIPBL, BAZ2B, FLRT2, SEMA5A, TMEM131, SMC5, PHLPP2, SSBP2, WDFY3, CASK, DMXL2, DDX17, CHD9, STAG1, RABGAP1, OGT, PHF3, SETDB1, MED13L, BTAF1, MTR, RANBP2, REV3L, RABGAP1L, ZNF292, EVI5, ZEB2, NAV3, FYN, FCHSD2, ACSL4, USP34, WDR43, MYCBP2, ROCK1, LYN, GAPVD1, FRYL, TRIO, RB1CC1, BTRC, BBX, PPP1R12A, EPS8, RBPJ, ZNF638, THOC2, RBM39, GALK2, SASH1, LTN1, MARK3, ATRX, ZFHX3, WWC1, CREB1, PRKCA, ACAP2, ADNP, PIK3C2A, SON, NBPF14, STAG2, OTUD4, PKN2, TRIP12, ITSN1, FNDC3A, RIN2, TIA1, WASHC4, PHF21A, CAMSAP2, AKAP10, ATR, SEMA3C, SUPT20H, AKAP11, STK10, CLOCK, ARID4A, NR3C1, RASA1, ROCK2, ARFGEF1, DNAJC13, KLF7, YTHDF3, MED13, CLINT1, TCF7L2, ZMYM2, NUP160, ADAM17, SOCS6, SUCO, TUT4, CRIM1, ZMYM4, MBOAT2, AHDC1, WBP4, UTP20, HERC4, CLIP1, CKAP5, PHF14, PJA2, MTREX, NCOA2, ZBTB20, PIKFYVE, MARCHF7, PUM2, KIDINS220, ASCC3, KDM5A, UPF2, GCC2, GNAQ, HDAC4, NBAS, DAPK1, PMM2, ROR1, CREB5, PAFAH1B1, CD2AP, USP9X, RGL1, EXT1, KAT6B, FNBP1L, CYTH1, NSMAF, MYOF, PPP2R3A, CERS6, EHBP1, SLK, DDX10, RYBP, TRAPPC8, PLPP3, ZBTB11, SEC24A, GTF3C2, XPO6, HIVEP2, CHD1, ARHGAP12, DST, KRIT1, MEIS2, NCKAP1, SMCHD1, KDM4C, MAN2A1, FGF2, ATXN1, DAAM1, TIAM1, CCDC93, RIF1, DOCK1, CUL1, EIF3A, AKAP13, SP3, BICRAL, SLC11A2, SMC3, SMARCA2, NCK1, JARID2, PKD2, ADAM10, CNOT2, SOS1, DOCK4, EFR3A, TAOK3, PCF11, TOGARAM1, MTF2, PTPRM, KDM5B, NPAT, PPIP5K2, AGFG1, DOP1B, SPG11, PDS5A, PIK3R4, TRIM2, XPO1, CDK19, MICAL3, PTPN9, RBM6, U2SURP, MAP1B, INPP5F, SLC23A2, NVL, SPAG9, WWP1, N4BP2L2, CNOT4, ARHGAP29, ATP11B, MDN1, PDS5B, AHCTF1, NECTIN3, ALCAM, ATP2C1, CLASP1, SLC4A7, NFKB1, UBXN7, SYNE2, SNX2, UBR2, ME2, UGCG, GPATCH8, SCAF8, RAPGEF2, PTK2, BMPR1A, USP7, EFNA5, ADGRA3, ATP2B4, FBXL7, ZFYVE16, CAND1, SRSF7, HPCAL1, PUM3, MAP3K14, GIGYF2, NCOA1, TAB2, BMP2K, TGFBR2, HNRNPDL, SGMS1, WAPL, UVRAG, CBLB, DMD, DNAJC2, TMCC1, LARP4, ZNF148, ADGRG6, PIBF1, SEC24D, NUP98, ANKS1A, ERC1, PPP2R5C, GOLGA4, CDC42BPA, SLIT2, DHX15, XRCC4, TBL1X, SRSF3, TLE4, ZEB1, ATP13A3, SNX13, WNT5A, FOXJ3, MBNL1, SECISBP2L, TRIM44, FILIP1L, FOXN3, NFIB, SMURF2, ARAP2, NPEPPS, MYO1B, UBE3A, DLEU2, MAST2, SHOC2, ARID5B, NEK1, PTPN13, RPS6KA3, DUSP5, PDLIM5, GRK5, KDM3B, POLR2B, CRYBG3, C2CD5, AKAP9, TP53BP1, ANKRD17, USP24, NT5C2, MECP2, DNMBP, SAMD4A, SATB2, SRPK2, TTC28, PTPRA, PIK3C3, SIPA1L1, PICALM, TLK1, TNFAIP8, MAPK14, SCAMP1, BDNF, TOPBP1, KIN, MNT, EIF4G3, DENND2B, PPP2R5E, LAMC1, SNX4, HEG1, STK39, ANKRD28, EPHA4, MSH3, SYNJ2, SUZ12, C2CD3, MTMR3, NRG1, NUMB, NPIPB3, MKLN1, CXCL12, SETX, PSME4, DYRK1A, IBTK, ZMYND11, MAP4K5, FUBP1, HOXB2, ASAP2, LARS2, TGIF1, RNF2, RCOR1, CEP135, AZIN1, ATF2, KLF6, ITCH, MDFIC, ACVR1, ABI1, BAZ1B, IGF1R, PHF8, THBS2, ZZZ3, ATRN, TNKS, RB1"
"4" "ZHENG_FOXP3_TARGETS_IN_THYMUS_UP" 0.000121270919233568 0.00835005071565423 0.553928709839459 2.40088827450504 0 189 "JMJD1C, CDK17, PELI1, RAPGEF6, PTBP3, ATP2B1, IRF4, TCF12, NUP153, ARHGEF3, SMC5, L3MBTL3, CHD9, EXOC6B, NFKBIZ, SESN1, MYO9A, KLF3, RABGAP1L, TTC33, EVI5, ANKRD12, CNOT6L, SDCBP, ADD3, LINC-PINT, TRIO, TBC1D15, TOP2B, DOCK10, ELF1, NR3C1, WNK1, WBP4, ZBTB20, BTBD10, RAB8B, PIK3R1, SLC37A3, EXT1, KAT6B, MAN1A1, TNFSF11, TPP2, HIVEP2, ARHGAP15, GPR183, GBP6, FLI1, PGAP1, AKAP13, CELF2, TOX, CPOX, JARID2, CNOT2, MAP3K1, DENND6A, TTC39B, RFX3, CDK19, NT5E, ATG16L1, VPS54, FAM91A1, ATP6V1A, ASXL2, LRCH1, SGMS1, CBLB, PPP2R5C, STAT4, SOCS2, GBP2, SEC63, MBNL1, INPP4B, ARID5B, LDLRAD4, GPR18, PDE4B, ARHGAP5, RPL5, C2CD5, ETS1, PTGER2, TMEM64, RGS1, TBC1D5"
"5" "DACOSTA_UV_RESPONSE_VIA_ERCC3_COMMON_DN" 0.000107839965491211 0.00835005071565423 0.50458199702016 2.36260913279484 0 455 "SRGAP2, CDK17, ATAD2B, NRIP1, ADARB1, ITSN2, PHIP, CEP350, PRRC2C, OSBPL8, EPS15, TASOR, VPS13A, PNISR, BPTF, STK3, SWAP70, RBMS1, ATP2B1, TCF12, NUP153, KAT6A, SETD2, BAZ2B, SEMA5A, TMEM131, SMC5, PHLPP2, CASK, CHD9, STAG1, RABGAP1, OGT, PHF3, MED13L, REV3L, ZNF292, EVI5, FYN, FCHSD2, WDR43, MYCBP2, LYN, GAPVD1, FRYL, TRIO, BBX, PPP1R12A, EPS8, RBPJ, ZNF638, RBM39, MARK3, ATRX, WWC1, CREB1, PRKCA, PKN2, TRIP12, ITSN1, FNDC3A, WASHC4, PHF21A, CAMSAP2, ATR, SEMA3C, CLOCK, NR3C1, RASA1, ROCK2, ARFGEF1, DNAJC13, KLF7, MED13, TCF7L2, ZMYM2, TUT4, CRIM1, ZMYM4, CLIP1, CKAP5, PJA2, MTREX, PIKFYVE, MARCHF7, PUM2, ASCC3, KDM5A, UPF2, GNAQ, DAPK1, PMM2, PAFAH1B1, PTENP1, CD2AP, USP9X, EXT1, KAT6B, FNBP1L, PPP2R3A, CERS6, EHBP1, SLK, TRAPPC8, SEC24A, HIVEP2, CHD1, ARHGAP12, DST, KRIT1, MEIS2, SMCHD1, MAN2A1, FGF2, LIMCH1, TIAM1, CCDC93, CUL1, SMARCA2, NCK1, JARID2, PKD2, ADAM10, CNOT2, SOS1, MTF2, DOP1B, PDS5A, TRIM2, XPO1, MICAL3, RBM6, U2SURP, MAP1B, INPP5F, NVL, CNOT4, ARHGAP29, ATP11B, MDN1, CLASP1, SLC4A7, UBR2, UGCG, SCAF8, RAPGEF2, PTK2, FBXL7, SRSF7, PUM3, GIGYF2, NCOA1, TAB2, HNRNPDL, WAPL, UVRAG, CBLB, LARP4, ZNF148, ADGRG6, PIBF1, NUP98, ANKS1A, PPP2R5C, GOLGA4, CDC42BPA, DHX15, XRCC4, TBL1X, SRSF3, TLE4, ATP13A3, SNX13, WNT5A, FOXJ3, MBNL1, FILIP1L, FOXN3, NFIB, SMURF2, NPEPPS, MYO1B, UBE3A, ARID5B, SSBP1, C2CD5, AKAP9, ANKRD17, USP24, MECP2, DNMBP, SAMD4A, SATB2, SRPK2, PTPRA, PIK3C3, PICALM, TLK1, BDNF, TOPBP1, EIF4G3, NPIPB5, PPP2R5E, USP32P2, HEG1, STK39, EPHA4, SUZ12, C2CD3, NRG1, NUMB, MKLN1, CXCL12, DYRK1A, IBTK, ZMYND11, MAP4K5, FUBP1, ASAP2, LARS2, RCOR1, CEP135, ATF2, KLF6, ACVR1, ABI1, THBS2, ZZZ3, RB1, GLRB, UBR5, ZHX3, AFF1"
"6" "DACOSTA_UV_RESPONSE_VIA_ERCC3_XPCS_DN" 0.000135281385281385 0.00835005071565423 0.586293086101444 2.26989315879437 0 82 "DOCK9, VPS13B, PLCE1, FAM193A, E2F5, PTX3, TGFBR3, DLG1, RANBP2, ZEB2, NAV3, RB1CC1, BTRC, ACAP2, PIK3C2A, SON, AKAP10, AHDC1, HERC4, PHF14, DST, RALGAPB, EIF3A, DOCK4, TOGARAM1, AGFG1, WWP1, PDS5B, NECTIN3, ATP2C1, NFKB1, UBXN7, GPATCH8, BMPR1A, TMCC1, SLIT2, ARAP2, DLEU2, RPS6KA3, DUSP5, PDLIM5, GRK5"
"7" "ZHENG_BOUND_BY_FOXP3" 0.000108084738434933 0.00835005071565423 0.482613753372727 2.25803377557565 0 451 "GVINP1, JMJD1C, TLR8, KDM3A, CHD2, CDK17, SAMSN1, NRIP1, FRS2, UST, MACF1, OSBPL8, PELI1, RAPGEF6, GRIA3, FOXP1, PTBP3, ATP2B1, IRF4, TCF12, NUP153, NIPBL, FRMD4B, ARHGEF3, UBASH3B, L3MBTL3, ADAMTS6, CACNB4, MAP3K8, EXOC6B, NFKBIZ, NSD3, SESN1, IKZF2, KLF3, XPO4, RABGAP1L, EVI5, CNOT6L, ANKRD44, FYN, SCN8A, ADD3, SSH2, CHD7, CADM3, PTK2B, TBC1D15, OTULINL, TOP2B, SLC30A7, DOCK10, FYB1, TP53INP1, ELF1, ZBTB1, SHTN1, ZNF608, ZNF761, HMG20A, STK10, EXOC2, TMEM67, TEC, TET3, ZBTB20, PIK3CG, BTBD10, ELMO1, UTRN, RAB8B, HECTD1, EXT1, KAT6B, CYTH1, NSMAF, MAN1A1, TNFSF11, RBBP6, TPP2, HIVEP2, PPP1R3F, ARHGAP15, P4HA1, ST8SIA1, FAS, CCDC198, SAG, GPR183, GBP6, PARP11, FLI1, WDR35, PGAP1, BCL2, AKAP13, CELF2, TOX, ACTR3, CPOX, JARID2, CNOT2, MAP3K1, PIAS2, CNGA1, GNG2, DENND6A, TTC39B, RFX3, SRPK1, JAK1, CDK19, NT5E, TMEM71, PTPRC, USP3, ST8SIA4, SLC23A2, SMAP2, IL6ST, THADA, VPS54, FAM91A1, SYNE2, TTC5, ASXL2, RAPGEF2, STK17B, LRCH1, ABLIM1, AXL, TGFBR2, SGMS1, CBLB, MYNN, RBL2, IFT57, CD200R1, WIPF1, PARP8, PPP2R5C, LRRC8C, SLC35B4, STAT4, SOCS2, ENOX1, FASLG, MBNL1, AMOT, PDE7A, RHOH, OBI1, INPP4B, CADPS, LCP1, IRF2, GIMAP1, ADSS2, HK3, CCR7, ARID5B, MDM2, BCL11B, PRKCH, MAMDC2, LDLRAD4, EPS15L1, GPR18, PDE4B, ARHGAP5, ARHGAP25, ZAP70, ENPP6, C2CD5, ETS1, PTGER2, TMEM64, TENT5C, TRA2B, PTPN22, RGS1, TBC1D5, ITM2B, ZDHHC20, SATB1, TLK1, TNRC6B, HEATR5A, CC2D2A, CMAHP, AGPS, ULK4, ANKRD28, PLCG1, SBSPON, MRS2, COBLL1, MIR4435-2HG, TG, IBTK, SNX14, ZNF429, MAN1A2, PAG1, KLF6, ATXN7, MDFIC, ENPP1, ANXA1"
"8" "DACOSTA_UV_RESPONSE_VIA_ERCC3_TTD_DN" 0.000135427952329361 0.00835005071565423 0.582637989637313 2.25004322668279 0 81 "DOCK9, VPS13B, PLCE1, FAM193A, UST, LPAR1, MITF, BTAF1, ZEB2, NAV3, RB1CC1, GALK2, ZFHX3, ACAP2, PIK3C2A, SON, AHDC1, HERC4, PHF14, ROR1, CREB5, PLPP3, DST, RALGAPB, ATXN1, EIF3A, DOCK4, TOGARAM1, PTPRM, PDS5B, NECTIN3, UBXN7, GPATCH8, SGMS1, DMD, DNAJC2, TMCC1, CDC42BPA, ACVR2A, NFIB, ARAP2"
"9" "ZHENG_FOXP3_TARGETS_IN_T_LYMPHOCYTE_DN" 0.000149298297999403 0.00835005071565423 0.663787396077883 2.1947907089093 0 35 "CDK17, NRIP1, PELI1, RAPGEF6, FOXP1, PTBP3, NIPBL, ANKRD44, PTK2B, STK10, WNK1, UTRN, ST8SIA1, BCL2, JAK1, PTPRC, SYNE2, LRCH1, TGFBR2, WIPF1, BCL11B, DPH5, SATB1, CMAHP"
"10" "DAZARD_UV_RESPONSE_CLUSTER_G6" 0.00012643823492224 0.00835005071565423 0.521408276180608 2.18091006208122 0 143 "DOCK9, VPS13B, ZNF451, PHIP, E2F5, DOP1A, ATP2B1, KAT6A, SMC5, SSBP2, CHD9, PHF3, REV3L, RABGAP1L, NAV3, FYN, FRYL, BBX, PPP1R12A, RBPJ, ZNF638, WWC1, OTUD4, FNDC3A, LPCAT1, KLF7, SUCO, TUT4, MEIS1, PIKFYVE, PAFAH1B1, KAT6B, FNBP1L, ADGRL2, CUL1, SP3, JARID2, CNOT2, DOCK4, TOGARAM1, XPO1, CNOT4, EXPH5, BIRC2, CLASP1, NFKB1, PTK2, LSM14A, WAPL, AJAP1, EDRF1, AUTS2, STRN, TLE4, ATP13A3, SHOC2, FOXO1, KLHL9, USP24, MECP2, PIK3C3, TLK1, MLH3, MAST4, SLC9A6"
